Index,Title,Album,Date,Year,Lyrics,Love,Alcohol,Lonely,Smoke,Dream,Lie,Life,Death,Sick,City,Home,Time,Lost,Money,Nothing,Dance,Memory,Water,Friend,Pain,Wait,Link
21,The White Lady Loves You More,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
Keep your things in a place meant to hide
But I know they're there somewhere
And I know that's where you'll go tonight
I'll be thrown over just like before

[Chorus]
The white lady loves you more

[Verse 2]
Need a metal man just to pick up your feet
It's a long time since you cared enough for me to even be discreet
I know what this metal is for

[Chorus]
The white lady loves you more

[Bridge]
I'm looking at a hand full of broken plans
And I'm tired of playing it down
You just want her to do anything to you
There ain't nothing that you won't allow

[Verse 3]
You wake up in the middle of the night
From a dream you won't remember flashing on like a cop's light
You say, ""She's waiting and I know what for""",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,https://genius.com/Elliott-smith-the-white-lady-loves-you-more-lyrics
22,The Biggest Lie,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
I'm waiting for the train
The subway that only goes one way
The stupid thing that'll come to pull us apart
And make everybody late

[Verse 2]
You spent everything you had
Wanted everything to stop that bad
Now I'm a crushed credit card registered to Smith
Not the name that you call me with

[Verse 3]
You turned white like a saint
I'm tired of dancing on a pot of gold flake paint
Oh, we're so very precious, you and I
And everything that you do makes me want to die

[Outro]
Oh, I just told the biggest lie
I just told the biggest lie
The biggest lie",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,https://genius.com/Elliott-smith-the-biggest-lie-lyrics
23,Speed Trials,Either/Or: Expanded Edition,"Oct. 1, 1996",1996,"[Verse 1]
He's pleased to meet you underneath the horse
In the cathedral with the glass stained black
Singing sweet, high notes that echo back
To destroy their master
May be a long time 'til you get the call-up
But it's sure as fate and hard as your luck
No one'll know where you are

[Chorus]
It's just a brief smile crossing your face
I'm running speed trials standing in place

[Verse 2]
When the socket's not a shock enough
You little child, what makes you think you're tough?
When all the people you think you're above
They all know what's the matter
You're such a pinball, yeah, you know it's true
There's always something you go back running to
To follow the path of no resistance

[Chorus]
It's just a brief smile crossing your face
I'm running speed trials standing in place
It's just a brief smile crossing your face
I'm running speed trials all over the place",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-speed-trials-lyrics
24,Angeles,Grand Mal: Studio Rarities,"Feb. 25, 1997",1997,"[Verse 1]
Someone's always coming around here, trailing some new kill
Says, ""I've seen your picture on a hundred dollar bill""
What's a game of chance to you, to him is one of real skill

[Chorus]
So glad to meet you
Angeles

[Verse 2]
Picking up the ticket shows there's money to be made
Go on, lose the gamble that's the history of the trade
Did you add up all the cards left to play to zero

[Chorus 2]
And sign up with evil
Angeles?

{Bridge}
Don't start me trying now
Uh-huh, uh-huh, uh-huh

{Chorus 3}
'Cause I'm all over it
Angeles",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-angeles-lyrics
25,I Don't Think I'm Ever Gonna Figure It Out,Grand Mal: Studio Rarities,"Oct. 1, 1996",1996,"I can wait, I can wait
I can sit wondering what in the world you think about
I don't think I'm ever gonna figure it out

After all the alcohol, the pretty words have devolved down
To slurs and drunken shouts
I don't think I'm ever gonna figure it out

Like some wild last frontier
You never know what kind of fight's gonna appear
That once begun can't be won
Started out losing already and go all ten rounds
I don't think I'm ever gonna figure it out
I don't think I'm ever gonna figure it out

The tired hits that fall below
I can't connect
Yeah, yeah
I know

I can wait, I can wait
I can sit wondering what in the world you think about
I don't think I'm ever gonna figure it out
I don't think I'm ever gonna figure it out
I don't think I'm ever gonna figure it out",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-i-dont-think-im-ever-gonna-figure-it-out-lyrics
26,Alameda,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
You walk down Alameda
Shuffling your deck of trick cards
Over everyone
Like some precious only son
Face down, bow to the champion

[Verse 2]
You walk down Alameda
Looking at the cracks in the sidewalk
Thinking about your friends
How you maintain all them in
A constant state of suspense

[Chorus]
For your own protection
Over their affection
Nobody broke your heart
You broke your own, 'cause you can't finish what you start

[Verse 3]
Walk down Alameda
Brushing off the nightmares you wish
Could plague me when I'm awake
So now you see your first mistake
Was thinking that you could relate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,https://genius.com/Elliott-smith-alameda-lyrics
27,Ballad of Big Nothing,Either/Or: Expanded Edition,"Jun. 28, 1998",1998,"[Verse 1]
Throwing candy out to the crowd
Dragging down the main
The helpless little thing with the dirty mouth
Who's always got something to say
You're sitting around at home now waiting for your brother to call
I saw him down in the alley, having had enough of it all

[Chorus]
Said, ""You can do what you want to whenever you want to
You can do what you want to, there's no one to stop you""

[Verse 2]
All spit and spite, you're up all night and down every day
A tired man with only hours to go just waiting to be taken away
Getting into the back of a car for candy from some stranger
Watching the parade with pinpoint eyes full of smoldering anger

[Chorus]
You can do what you want to whenever you want to
You can do what you want to there's no one to stop you

Now, you can do what you want to whenever you want to (Oh yeah)
Do what you want to whenever you want to (Oh yeah)
Do what you want to whenever you want to
Though it doesn't mean a thing
Big nothing",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,https://genius.com/Elliott-smith-ballad-of-big-nothing-lyrics
28,Between the Bars,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
Drink up, baby, stay up all night
With the things you could do, you won't but you might
The potential you'll be, that you'll never see
The promises you'll only make
Drink up with me now and forget all about
The pressure of days, do what I say
And I'll make you okay and drive them away
The images stuck in your head

[Chorus]
People you've been before that you
Don't want around anymore
That push and shove and won't bend to your will
I'll keep them still

[Verse 2]
Drink up, baby, look at the stars
I'll kiss you again, between the bars
Where I'm seeing you there, with your hands in the air
Waiting to finally be caught
Drink up one more time and I'll make you mine
Keep you apart, deep in my heart
Separate from the rest, where I like you the best
And keep the things you forgot",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-between-the-bars-lyrics
29,Pictures of Me,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
Start, stop and start
Stupid acting smart
Flirting with the flicks
You say, ""It's just for kicks""
You'll be the victim of your own dirty tricks
You got yourself to tease and displease
Doors swinging wide
You walked in to hide
Looking at your feet
Failure's complete
Saw you and me on the coin-op TV
Frozen in fear every time we appear

[Chorus]
I'm not surprised at all and really, why should I be?
See nothing wrong
See nothing wrong
So sick and tired of all these pictures of me
Completely wrong
Totally wrong

[Verse 2]
Go walking by
Here come another guy
Jailer who sells personal hells
Who'd like to see me down on my fucking knees?
Everybody's dying just to get the disease",0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-pictures-of-me-lyrics
30,No Name No. 5,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
Got bitten fingernails and a head full of the past
And everybody's gone at last
A sweet, sweet smile that's fading fast
'Cause everybody's gone at last
Don't get upset about it, no, not anymore
There's nothing wrong that wasn't wrong before
Had a second alone with a chance let pass
And everybody's gone at last

[Verse 2]
And I hope you're not waiting
Waiting 'round for me
'Cause I'm not going anywhere, obviously
Got a broken heart and your name on my cast
And everybody's gone at last
Everybody's gone at last",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,https://genius.com/Elliott-smith-no-name-no-5-lyrics
